campaign_id,week_number,week_date,spend,impressions,clicks,conversions
1,0,2026-01-02,116.84,14605,933,36
1,1,2026-01-09,156.34,19543,1248,47
1,2,2026-01-16,145.91,18239,1165,44
1,3,2026-01-23,205.07,25634,1638,61
1,4,2026-01-30,95.91,11989,766,28
1,5,2026-02-06,252.94,31617,2020,76
1,6,2026-02-13,78.14,9768,624,24
1,7,2026-02-20,163.45,20431,1306,50
1,8,2026-02-27,150.49,18811,1202,46
1,9,2026-03-06,72.57,9071,579,21
2,0,2025-11-21,73.28,8142,108,6
2,1,2025-11-28,107.4,11933,159,9
2,2,2025-12-05,48.8,5422,72,3
2,3,2025-12-12,118.04,13116,175,10
2,4,2025-12-19,19.53,2170,29,1
3,0,2025-12-19,18.11,1207,24,1
3,1,2025-12-26,28.79,1919,38,1
3,2,2026-01-02,135.36,9024,177,6
3,3,2026-01-09,74.07,4938,97,3
3,4,2026-01-16,75.46,5031,99,4
3,5,2026-01-23,44.07,2938,57,2
3,6,2026-01-30,43.33,2889,56,2
3,7,2026-02-06,181.68,12112,237,8
3,8,2026-02-13,138.67,9245,181,7
4,0,2026-04-24,425.72,47302,1398,20
4,1,2026-05-01,28.5,3167,94,2
4,2,2026-05-08,154.79,17199,508,7
4,3,2026-05-15,187.3,20811,616,8
4,4,2026-05-22,650.81,72312,2138,30
4,5,2026-05-29,276.81,30757,910,13
5,0,2026-02-13,37.54,4693,266,14
5,1,2026-02-20,30.85,3856,219,11
5,2,2026-02-27,30.56,3820,217,11
5,3,2026-03-06,33.52,4190,237,11
5,4,2026-03-13,31.94,3992,227,11
5,5,2026-03-20,57.53,7191,407,20
5,6,2026-03-27,73.73,9216,523,26
5,7,2026-04-03,8.66,1082,62,3
6,0,2026-02-27,27.06,3007,45,3
6,1,2026-03-06,80.61,8957,135,6
6,2,2026-03-13,98.37,10930,166,7
6,3,2026-03-20,22.3,2478,38,2
6,4,2026-03-27,48.47,5386,82,4
7,0,2026-05-22,104.14,26034,95,22
7,1,2026-05-29,26.88,6719,24,5
7,2,2026-06-05,33.36,8340,30,7
8,0,2025-11-07,68.55,4570,86,3
8,1,2025-11-14,53.34,3556,67,3
8,2,2025-11-21,170.38,11359,214,9
8,3,2025-11-28,110.17,7345,138,5
9,0,2026-08-28,513.46,42788,1046,27
9,1,2026-09-04,789.17,65764,1608,42
10,0,2025-10-24,1.21,134,3,0
10,1,2025-10-31,4.19,465,11,0
10,2,2025-11-07,2.11,234,6,0
10,3,2025-11-14,13.0,1444,34,0
10,4,2025-11-21,16.53,1837,44,1
10,5,2025-11-28,7.53,837,20,1
10,6,2025-12-05,7.53,837,19,1
10,7,2025-12-12,4.3,478,11,0
10,8,2025-12-19,3.01,334,8,0
10,9,2025-12-26,1.84,204,5,0
10,10,2026-01-02,4.69,521,12,1
10,11,2026-01-09,9.29,1032,25,1
11,0,2026-06-05,31.12,7779,104,12
11,1,2026-06-12,31.98,7994,106,12
11,2,2026-06-19,23.24,5811,77,8
11,3,2026-06-26,34.67,8667,115,12
11,4,2026-07-03,10.02,2505,34,4
11,5,2026-07-10,69.01,17253,231,25
11,6,2026-07-17,12.77,3192,43,4
12,0,2026-03-20,24.07,6017,57,7
12,1,2026-03-27,32.3,8076,75,8
12,2,2026-04-03,25.64,6411,60,6
13,0,2025-11-07,1.63,272,0,0
13,1,2025-11-14,44.21,7368,0,4
13,2,2025-11-21,30.19,5032,0,3
13,3,2025-11-28,62.96,10493,0,4
13,4,2025-12-05,13.37,2229,0,1
13,5,2025-12-12,24.08,4013,0,2
13,6,2025-12-19,27.9,4650,0,2
13,7,2025-12-26,15.77,2629,0,1
13,8,2026-01-02,11.9,1984,0,0
13,9,2026-01-09,45.77,7629,0,4
14,0,2025-11-21,167.72,13977,397,11
14,1,2025-11-28,70.82,5902,167,5
14,2,2025-12-05,267.06,22255,631,17
14,3,2025-12-12,82.84,6903,196,6
14,4,2025-12-19,163.9,13658,387,12
14,5,2025-12-26,100.58,8382,237,7
14,6,2026-01-02,99.22,8268,234,6
15,0,2026-01-16,40.54,10134,85,17
15,1,2026-01-23,23.29,5823,49,9
15,2,2026-01-30,36.57,9142,77,15
15,3,2026-02-06,42.9,10724,91,18
15,4,2026-02-13,34.96,8741,74,14
15,5,2026-02-20,37.17,9292,78,15
15,6,2026-02-27,51.02,12754,108,20
15,7,2026-03-06,20.31,5077,43,8
15,8,2026-03-13,6.17,1542,14,2
16,0,2026-02-20,538.55,44879,1303,33
16,1,2026-02-27,554.38,46198,1342,34
16,2,2026-03-06,258.42,21535,625,15
16,3,2026-03-13,158.66,13222,384,10
16,4,2026-03-20,147.19,12266,356,9
16,5,2026-03-27,45.01,3751,109,3
16,6,2026-04-03,135.86,11322,329,8
16,7,2026-04-10,11.86,988,29,0
16,8,2026-04-17,38.32,3193,93,2
16,9,2026-04-24,256.45,21371,621,16
17,0,2026-05-08,97.28,12160,675,28
17,1,2026-05-15,205.05,25631,1422,61
17,2,2026-05-22,68.84,8605,477,20
17,3,2026-05-29,66.51,8314,462,20
17,4,2026-06-05,140.04,17505,972,41
18,0,2026-07-17,119.02,9918,323,10
18,1,2026-07-24,113.69,9474,309,9
19,0,2025-09-19,33.32,4165,255,11
19,1,2025-09-26,38.93,4866,298,13
19,2,2025-10-03,68.41,8551,524,23
19,3,2025-10-10,78.93,9866,603,26
19,4,2025-10-17,39.92,4990,306,13
19,5,2025-10-24,21.88,2735,167,7
20,0,2025-11-14,1369.61,171201,9327,310
20,1,2025-11-21,418.4,52300,2849,95
20,2,2025-11-28,2030.13,253766,13825,461
20,3,2025-12-05,160.14,20017,1091,36
20,4,2025-12-12,404.61,50576,2756,92
20,5,2025-12-19,841.24,105155,5729,190
21,0,2026-04-24,366.62,30552,837,26
21,1,2026-05-01,915.54,76295,2090,63
21,2,2026-05-08,359.17,29931,820,24
22,0,2026-06-05,142.11,23685,0,6
22,1,2026-06-12,30.98,5163,0,1
23,0,2026-05-15,222.96,27870,1530,74
23,1,2026-05-22,16.7,2088,114,5
24,0,2025-09-26,98.63,12329,788,18
24,1,2025-10-03,4.13,516,33,1
